shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
15JUNE-100413,360011,47.359984,-122.601275
15JUNE-100413,360012,47.359984,-122.601145
15JUNE-100413,360013,47.359944,-122.600145
15JUNE-100413,360014,47.359924,-122.599185
15JUNE-100413,360015,47.359874,-122.598015
15JUNE-100413,360016,47.359794,-122.595535
15JUNE-100413,360017,47.359734,-122.593915
15JUNE-100413,360018,47.359724,-122.593365
15JUNE-100413,360019,47.359724,-122.592625
15JUNE-100413,360020,47.359744,-122.591725
15JUNE-100413,360021,47.359764,-122.591225
15JUNE-100413,360022,47.359824,-122.590585
15JUNE-100413,360023,47.359854,-122.590325
15JUNE-100413,360024,47.359874,-122.590075
15JUNE-100413,360025,47.359884,-122.589755
15JUNE-100413,360026,47.359894,-122.589485
15JUNE-100413,360027,47.359854,-122.589475
15JUNE-100413,360028,47.359814,-122.589415
15JUNE-100413,360029,47.359804,-122.589345
15JUNE-100413,360030,47.359814,-122.589275
15JUNE-100413,360031,47.359854,-122.589225
15JUNE-100413,360032,47.359904,-122.589215
15JUNE-100413,360033,47.359944,-122.589235
15JUNE-100413,360034,47.359974,-122.589285
15JUNE-100413,360035,47.359984,-122.589345
15JUNE-100413,360036,47.360124,-122.589335
15JUNE-100413,360037,47.360514,-122.589325
15JUNE-100413,360038,47.361014,-122.589335
15JUNE-100413,360039,47.361754,-122.589345
15JUNE-100413,360040,47.361993,-122.589340
15JUNE-100413,370001,47.361993,-122.589340
15JUNE-100413,370002,47.362204,-122.589335
15JUNE-100413,370003,47.364094,-122.589315
15JUNE-100413,370004,47.364534,-122.589315
15JUNE-100413,370005,47.365794,-122.589315
15JUNE-100413,370006,47.365944,-122.589315
15JUNE-100413,380001,47.365944,-122.589315
15JUNE-100413,380002,47.368614,-122.589315
15JUNE-100413,380003,47.369494,-122.589305
15JUNE-100413,380004,47.370404,-122.589305
15JUNE-100413,380005,47.370558,-122.589305
15JUNE-100413,390001,47.370558,-122.589305
15JUNE-100413,390002,47.370774,-122.589305
15JUNE-100413,390003,47.371064,-122.589315
15JUNE-100413,390004,47.371814,-122.589305
15JUNE-100413,390005,47.372224,-122.589275
15JUNE-100413,390006,47.372644,-122.589285
15JUNE-100413,390007,47.372964,-122.589295
15JUNE-100413,390008,47.373174,-122.589295
15JUNE-100413,390009,47.373944,-122.589305
15JUNE-100413,390010,47.374454,-122.589285
15JUNE-100413,390011,47.374594,-122.589285
15JUNE-100413,390012,47.374818,-122.589277
15JUNE-100413,400001,47.374818,-122.589277
15JUNE-100413,400002,47.375424,-122.589255
15JUNE-100413,400003,47.376304,-122.589235
15JUNE-100413,400004,47.376744,-122.589225
15JUNE-100413,400005,47.377694,-122.589215
15JUNE-100413,400006,47.378144,-122.589215
15JUNE-100413,400007,47.378359,-122.589211
15JUNE-100413,410001,47.378359,-122.589211
15JUNE-100413,410002,47.379174,-122.589195
15JUNE-100413,410003,47.380424,-122.589165
15JUNE-100413,410004,47.381264,-122.589125
15JUNE-100413,410005,47.381724,-122.589125
15JUNE-100413,410006,47.382684,-122.589105
15JUNE-100413,410007,47.382854,-122.589098
15JUNE-100413,420001,47.382854,-122.589098
15JUNE-100413,420002,47.383894,-122.589055
15JUNE-100413,420003,47.384564,-122.589055
15JUNE-100413,420004,47.385834,-122.589025
15JUNE-100413,420005,47.386454,-122.589025
15JUNE-100413,420006,47.386744,-122.589015
15JUNE-100413,420007,47.387973,-122.588983
15JUNE-100413,430001,47.387973,-122.588983
15JUNE-100413,430002,47.389064,-122.588955
15JUNE-100413,430003,47.389054,-122.592875
15JUNE-100413,430004,47.389054,-122.593685
15JUNE-100413,430005,47.389046,-122.594044
15JUNE-100413,440001,47.389046,-122.594044
15JUNE-100413,440002,47.389044,-122.594125
15JUNE-100413,440003,47.389044,-122.594725
15JUNE-100413,440004,47.389004,-122.597175
15JUNE-100413,440005,47.389004,-122.598612
15JUNE-100413,450001,47.389004,-122.598612
15JUNE-100413,450002,47.389004,-122.598715
15JUNE-100413,450003,47.388985,-122.604034
15JUNE-100413,460001,47.388985,-122.604034
15JUNE-100413,460002,47.388984,-122.604185
15JUNE-100413,460003,47.388994,-122.605935
