block_seq_num,block_var_num,block_route_num,block_run_num
3902102-1,1,15,11
3902101-1,1,15,1
3902100-1,1,355,7
3902099-1,1,55,14
3902098-1,1,48,20
3902097-1,1,56,5
3902096-1,1,18,11
3902095-1,1,56,7
3902094-1,1,5,21
3902093-1,1,18,4
3902092-1,1,301,20
3902091-1,1,55,13
3902090-1,1,48,21
3902089-1,1,48,19
3902088-1,1,48,33
3902087-1,1,48,32
3902086-2,2,48,30
3902086-1,1,48,30
3902085-2,2,48,29
3902085-1,1,48,29
3902084-1,1,48,28
3902083-1,1,48,27
3902082-1,1,48,26
3902081-1,1,48,25
3902080-1,1,48,24
3902079-1,1,48,22
3902078-1,1,48,18
3902077-1,1,48,17
3902076-1,1,48,14
3902075-1,1,48,12
3902074-1,1,48,11
3902073-1,1,48,9
3902072-1,1,48,8
3902071-1,1,48,7
3902070-1,1,48,5
3902069-1,1,48,4
3902068-1,1,48,15
3902067-2,2,48,3
3902067-1,1,48,3
3902066-1,1,48,2
3902065-1,1,48,1
3902064-1,1,988,1
3902063-1,1,675,25
3902062-1,1,675,24
3902061-1,1,5,31
3902060-1,1,675,38
3902059-1,1,675,37
3902058-1,1,675,36
3902057-1,1,675,35
3902056-1,1,675,34
3902055-1,1,675,33
3902054-1,1,675,32
3902053-1,1,675,31
3902052-1,1,675,30
3902051-1,1,675,29
3902050-1,1,675,27
3902049-1,1,675,26
3902048-1,1,675,23
3902047-1,1,675,22
3902046-1,1,675,21
3902045-1,1,675,20
3902044-1,1,675,19
3902043-1,1,675,18
3902042-1,1,675,17
3902041-1,1,675,16
3902040-1,1,675,15
3902039-1,1,675,14
3902038-1,1,675,13
3902037-1,1,675,12
3902036-1,1,675,11
3902035-1,1,675,10
3902034-1,1,675,9
3902033-1,1,675,8
3902032-1,1,675,7
3902031-1,1,675,6
3902030-1,1,675,5
3902029-1,1,675,4
3902028-1,1,675,3
3902027-1,1,675,2
3902026-1,1,675,1
3902025-1,1,5,26
3902024-1,1,15,14
3902023-1,1,15,2
3902022-1,1,57,10
3902021-1,1,5,3
3902020-1,1,355,13
3902019-1,1,56,4
3902018-1,1,301,15
3902017-1,1,17,7
3902016-1,1,301,18
3902015-1,1,355,6
3902014-1,1,303,12
3902013-2,2,981,1
